antecedents;consequents
8960;19458, 36098, 4626, 61335, 48856
19458;8960, 36098, 4626, 61335, 48856
36098;8960, 19458, 4626, 61335, 48856
4626;8960, 19458, 36098, 61335, 48856
61335;8960, 19458, 36098, 4626, 48856
48856;8960, 19458, 36098, 4626, 61335
23654;8960, 36098, 4626, 61335, 48856
27041;14093, 60430, 69073, 47221, 26719
14093;27041, 60430, 69073, 47221, 26719
60430;27041, 14093, 69073, 47221, 26719
69073;27041, 14093, 60430, 47221, 26719
47221;27041, 14093, 60430, 69073, 26719
26719;27041, 14093, 60430, 69073, 47221
